entry,offset,encoding,score,string,neighbors_before,neighbors_after
paperweb/bin/Mvcbll.dll,499234,utf16le,4,OriginalFilename,Mvcbll.dll | LegalCopyright | Copyright  |   2010,Mvcbll.dll | ProductName | Mvcbll | ProductVersion
paperweb/bin/Mvcbll.pdb,272656,ascii,4,filename,CS$0$0000 | arrChar | getJsApiTicket | CS$0$0000,data | jsonStringfrom | jsonString2 | timeStamp
paperweb/bin/Mvcbll.pdb,274900,ascii,4,filename,accessToken | jsonString3 | getAccessToken | CS$0$0000,jsonString1 | data | jsonString2 | access_token
paperweb/bin/Mvcbll.pdb,277112,ascii,4,filename,jsonString3 | getAccessTokenJsonstring | CS$0$0000 | getAccessTokenJsonstring1,jsonString1 | data | jsonString2 | access_token
paperweb/bin/Mvcbll.pdb,277780,ascii,4,filename,jsonpath | getJsApiTicketJsonstring | CS$0$0000 | getJsApiTicketJsonstring1,data | jsonStringfrom | jsonString2 | timeStamp
paperweb/bin/Mvcbll.pdb,477536,ascii,4,filename,CS$0$0004 | CS$0$0005 | dname | path,dire | guid | ProHeadimgurl | CS$0$0000
paperweb/bin/Mvcbll.pdb,478048,ascii,4,filename,CS$0$0004 | CS$0$0005 | dname | path,dire | guid | Downfinish | .ctor
paperweb/bin/Mvccom.dll,71639,ascii,4,get_FileName,get_ContentLength | NewGuid | DateTimeFormatInfo | get_InvariantInfo,Path | GetExtension | ToLower | Alert
paperweb/bin/Mvccom.dll,76069,ascii,4,fileName,filesize | Upallfile | SaveFile | filecon,encodingStr | ReadFile | filestr | Savelog
paperweb/bin/Mvccom.dll,76720,ascii,4,filename,set_TTSInfo | SpeakChinaThread | TTSinfoThread | urlpath,title | curp | morestr | classname
paperweb/bin/Mvccom.dll,93730,utf16le,4,OriginalFilename,Mvccom.dll | LegalCopyright | Copyright  |   2010,Mvccom.dll | ProductName | Mvccom | ProductVersion
paperweb/bin/Mvccom.pdb,21832,ascii,4,filename,CS$0$0001 | showpages | DEJA | urlpath,htmlBuilder | detail | XT/#! | Unpage
