parent_original,parent_archive_url,parent_content_year,parent_issue_numbers,kind,media_original,archived_media_url,archived_media_digest
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_webs/images/tgfs.jpg,,
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_webs/images/ywbd.jpg,,
http://www.qlsn.com/,https://web.archive.org/web/20040716162949id_/http://www.qlsn.com/,,,img,http://www.qlsn.com/新世纪广告人——网页制作.files/shim.gif,,
http://www.qlsn.com/news_view.asp?id=88,https://web.archive.org/web/20070623224004id_/http://www.qlsn.com/news_view.asp?id=88,2006,740,img,http://qlsn.com/picture/740-1-1.jpg,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://qlsn.com/picture/741-1-1.jpg,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://qlsn.com/picture/741-1-2.jpg,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://qlsn.com/picture/743-1-4.jpg,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://qlsn.com/picture/743-1-5.jpg,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/ann.gif,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/article.gif,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/down.gif,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/good.gif,,
http://www.qlsn.com/announce_view.asp?id=68,https://web.archive.org/web/20070623223133id_/http://www.qlsn.com/announce_view.asp?id=68,2006,,img,http://www.qlsn.com/Skins/Default/love.gif,,
http://www.qlsn.com/news_view.asp?id=90,https://web.archive.org/web/20070625133813id_/http://www.qlsn.com/news_view.asp?id=90,2006,,img,http://www.qlsn.com/Skins/Default/love.gif,,
http://www.qlsn.com/news_view.asp?id=88,https://web.archive.org/web/20070623224004id_/http://www.qlsn.com/news_view.asp?id=88,2006,740,img,http://www.qlsn.com/Skins/Default/love.gif,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/love.gif,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/new.gif,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/news.gif,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/pic.gif,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/t_link.gif,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/t_login.gif,,
http://www.qlsn.com/announce_view.asp?id=68,https://web.archive.org/web/20070623223133id_/http://www.qlsn.com/announce_view.asp?id=68,2006,,img,http://www.qlsn.com/Skins/Default/t_search.gif,,
http://www.qlsn.com/news_view.asp?id=90,https://web.archive.org/web/20070625133813id_/http://www.qlsn.com/news_view.asp?id=90,2006,,img,http://www.qlsn.com/Skins/Default/t_search.gif,,
http://www.qlsn.com/news_view.asp?id=88,https://web.archive.org/web/20070623224004id_/http://www.qlsn.com/news_view.asp?id=88,2006,740,img,http://www.qlsn.com/Skins/Default/t_search.gif,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/t_search.gif,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/t_webinfo.gif,,
http://www.qlsn.com/index.asp,https://web.archive.org/web/20070623224142id_/http://www.qlsn.com/index.asp,2006,,img,http://www.qlsn.com/Skins/Default/t_yourinfo.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/icon_blue.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/icon_green.gif,,
